source,destination,distance_km,days_to_departure,day_of_week,demand_index,price_inr
Kolkata,Mumbai,636.34,68,6,0.97,5038
Mumbai,Chennai,2156.86,21,3,0.88,5679
Mumbai,Hyderabad,2194.09,15,6,0.99,16125
Pune,Delhi,1060.56,49,0,1.17,7679
Pune,Delhi,1545.19,85,0,0.89,7433
Goa,Delhi,381.94,20,3,1.35,2000
Chennai,Goa,1677.11,20,0,0.92,11911
Chennai,Mumbai,1793.66,55,3,0.64,5559
Delhi,Kolkata,674.92,41,5,0.74,3215
Goa,Chennai,2663.7,14,5,1.1,16073
Kolkata,Chennai,1794.59,29,1,1.16,10198
Goa,Chennai,318.76,34,0,0.83,2165
Kolkata,Hyderabad,2063.65,13,4,1.14,13558
Hyderabad,Goa,683.09,94,1,0.94,2262
Mumbai,Pune,1936.64,10,0,1.04,14659
Kolkata,Bangalore,954.28,162,3,1.18,2271
Delhi,Mumbai,1168.41,11,1,1.3,6301
Delhi,Pune,1784.21,2,0,1.11,14141
Pune,Goa,272.83,18,5,0.73,2000
Chennai,Pune,2637.4,7,6,1.25,20493
Kolkata,Bangalore,882.61,6,3,1.09,5465
Hyderabad,Mumbai,2594.7,97,1,1.02,12359
Bangalore,Pune,2251.76,1,1,0.91,14552
Goa,Chennai,1117.02,58,0,0.93,7130
Hyderabad,Pune,1798.36,57,3,0.86,6394
Pune,Mumbai,1209.05,22,5,1.18,7321
Bangalore,Mumbai,387.53,9,1,0.91,2749
Chennai,Pune,1308.94,19,4,0.64,4347
Chennai,Kolkata,1601.55,8,5,1.1,8835
Kolkata,Goa,1066.4,25,0,1.2,7391
Chennai,Pune,570.41,15,3,1.02,2000
Mumbai,Kolkata,2497.92,46,2,1.4,16573
Kolkata,Delhi,1924.77,59,6,1.24,14062
Bangalore,Chennai,1451.32,94,5,1.02,4254
Mumbai,Kolkata,1885.74,19,1,1.24,13109
Chennai,Hyderabad,1544.37,62,0,1.02,7679
Bangalore,Goa,1857.73,21,4,1.02,5856
Mumbai,Delhi,1233.43,0,5,1.29,10281
Hyderabad,Kolkata,1178.25,10,3,1.23,7650
Mumbai,Goa,1958.59,14,0,1.05,13795
Mumbai,Delhi,2620.41,11,5,0.97,14761
Mumbai,Delhi,2450.79,43,0,1.18,14314
Chennai,Delhi,1365.6,74,3,0.99,5293
Delhi,Mumbai,2748.06,12,4,0.86,13990
Bangalore,Hyderabad,429.61,34,4,0.99,2000
Goa,Pune,2975.34,64,6,0.85,10955
Delhi,Bangalore,1261.97,2,5,0.57,6102
Bangalore,Mumbai,2744.55,52,4,0.91,12581
Goa,Mumbai,2722.92,138,0,0.79,10865
Delhi,Pune,429.97,67,6,0.68,2000
Goa,Mumbai,1947.39,10,4,0.91,10915
Chennai,Goa,946.91,28,1,1.01,4359
Goa,Mumbai,2848.58,13,2,1.08,16298
Mumbai,Chennai,817.23,47,2,1.32,4011
Kolkata,Goa,2968.23,24,5,1.18,14641
Mumbai,Pune,2438.49,155,3,1.2,10350
Hyderabad,Bangalore,1197.58,140,5,0.73,4260
Bangalore,Goa,991.88,55,6,0.86,3961
Kolkata,Mumbai,425.55,30,1,0.82,2515
Mumbai,Bangalore,1636.66,44,0,0.87,6288
Goa,Chennai,1433.7,0,6,0.92,10279
Delhi,Hyderabad,2758.84,12,4,1.12,15898
Mumbai,Chennai,2146.11,6,2,1.02,13431
Bangalore,Chennai,2366.26,46,6,0.85,10453
Chennai,Hyderabad,2202.15,96,0,1.02,10944
Pune,Chennai,777.22,2,0,0.83,6376
Goa,Kolkata,1998.88,10,2,1.02,10251
Kolkata,Hyderabad,1484.51,24,6,1.2,12539
Hyderabad,Goa,2030.73,77,0,0.86,9846
Delhi,Bangalore,2189.17,37,0,0.95,11708
Mumbai,Chennai,1641.18,13,5,0.82,5928
Bangalore,Goa,738.45,8,0,1.32,6664
Kolkata,Goa,1111.0,11,1,0.94,4702
Hyderabad,Pune,1211.2,2,2,1.09,8365
Pune,Mumbai,375.46,55,4,1.04,2247
Hyderabad,Delhi,1848.68,3,6,0.91,14397
Kolkata,Hyderabad,2914.66,5,6,0.92,21331
Hyderabad,Pune,579.47,33,6,1.09,3790
Goa,Hyderabad,1778.02,21,5,1.04,8030
Delhi,Mumbai,661.15,6,5,1.21,5550
Goa,Bangalore,2948.87,29,3,0.75,7195
Bangalore,Delhi,1735.39,31,1,0.87,7348
Kolkata,Delhi,1060.39,14,1,1.11,7414
Pune,Bangalore,2054.89,30,2,1.24,10180
Mumbai,Chennai,2244.34,13,4,1.04,10364
Kolkata,Delhi,1669.18,2,4,1.01,11951
Pune,Chennai,701.56,0,4,0.78,3761
Delhi,Mumbai,2531.5,13,0,1.38,22472
Pune,Goa,1803.19,41,5,1.14,8568
Hyderabad,Mumbai,1745.07,26,5,1.19,9193
Goa,Bangalore,891.09,11,1,1.11,5718
Kolkata,Delhi,940.57,22,5,0.88,2592
Mumbai,Goa,653.89,66,4,1.41,4585
Bangalore,Kolkata,1080.2,3,5,1.01,8144
Mumbai,Chennai,1950.34,55,4,1.01,5904
Chennai,Mumbai,1014.83,95,6,0.77,4833
Chennai,Mumbai,812.3,64,2,1.08,2450
Mumbai,Delhi,516.74,2,3,0.94,3762
Delhi,Chennai,895.34,30,4,0.87,2154
Hyderabad,Bangalore,2058.61,28,5,1.15,11500
Pune,Mumbai,2838.79,4,0,0.98,22188
Goa,Kolkata,2818.09,19,4,0.98,13710
Pune,Hyderabad,714.73,15,4,0.68,3305
Delhi,Mumbai,792.73,0,3,0.87,2552
Goa,Chennai,670.1,17,3,1.09,4749
Mumbai,Delhi,1440.1,72,4,1.15,5446
Mumbai,Goa,2856.66,13,1,1.06,16674
Bangalore,Pune,2407.13,19,6,1.32,21174
Bangalore,Delhi,2877.42,13,4,0.98,14504
Bangalore,Delhi,2339.08,2,2,1.01,14836
Delhi,Kolkata,2957.55,40,4,1.16,14664
Kolkata,Chennai,1830.2,1,0,1.51,25469
Hyderabad,Mumbai,2417.06,3,3,0.79,11292
Chennai,Hyderabad,368.08,6,0,0.92,3720
Goa,Mumbai,708.95,10,1,0.9,3803
Kolkata,Bangalore,2431.58,23,2,0.92,7465
Chennai,Kolkata,393.73,9,5,0.83,2000
Mumbai,Hyderabad,2076.16,13,5,0.93,10519
Pune,Kolkata,922.87,10,0,1.3,8701
Kolkata,Pune,1625.08,8,2,0.95,8182
Chennai,Kolkata,1291.25,94,2,0.88,5475
Pune,Mumbai,534.68,22,3,1.11,2655
Pune,Hyderabad,1433.49,7,6,0.84,8405
Goa,Chennai,2922.67,40,2,0.93,9947
Chennai,Goa,2965.48,30,5,1.19,16603
Delhi,Chennai,1363.1,11,2,1.1,7765
Hyderabad,Bangalore,1958.04,62,2,0.88,6825
Pune,Hyderabad,2460.04,38,4,1.01,10834
Pune,Hyderabad,354.76,11,5,0.63,3088
Mumbai,Delhi,399.46,6,6,1.08,3435
Pune,Delhi,2892.31,26,0,0.83,12505
Hyderabad,Chennai,1453.83,4,0,0.88,11474
Bangalore,Chennai,2583.55,3,3,0.94,15949
Goa,Bangalore,636.84,31,2,1.29,2446
Kolkata,Delhi,1425.74,5,5,1.08,10828
Bangalore,Delhi,343.61,2,3,0.93,3196
Mumbai,Kolkata,653.41,12,5,1.35,5473
Delhi,Goa,980.06,18,0,0.84,4792
Chennai,Kolkata,676.67,1,4,1.01,5204
Delhi,Goa,1804.26,14,6,1.13,13721
Bangalore,Mumbai,1248.55,0,5,0.88,8240
Goa,Hyderabad,517.84,38,2,1.21,2000
Kolkata,Goa,1183.47,7,2,0.86,4567
Delhi,Goa,276.31,1,5,1.12,3180
Goa,Chennai,1330.95,1,0,1.2,13143
Chennai,Delhi,470.46,13,5,1.22,2843
Delhi,Hyderabad,1253.66,26,1,1.16,5895
Hyderabad,Kolkata,1405.15,8,2,0.94,5797
Bangalore,Delhi,291.86,52,2,1.07,2994
Mumbai,Kolkata,1480.76,5,4,0.73,7584
Hyderabad,Kolkata,1785.95,39,3,1.11,7782
Goa,Mumbai,429.72,44,5,0.81,2000
Pune,Delhi,2735.56,43,4,1.09,13583
Chennai,Mumbai,2028.16,5,4,1.08,15339
Chennai,Bangalore,2786.72,5,1,0.82,15619
Kolkata,Bangalore,2427.84,48,3,0.84,7105
Kolkata,Bangalore,1740.73,28,4,1.0,8099
Delhi,Goa,674.08,3,5,0.99,3619
Kolkata,Delhi,1507.83,8,5,0.81,6005
Bangalore,Mumbai,2686.24,10,3,1.17,15736
Mumbai,Chennai,1526.03,14,0,1.16,13054
Goa,Hyderabad,2321.96,31,2,0.99,9723
Mumbai,Pune,2429.37,6,3,1.08,15490
Goa,Chennai,2788.97,1,0,1.06,25937
Bangalore,Delhi,2858.12,51,6,0.95,16740
Hyderabad,Pune,1312.23,10,6,1.15,9620
Delhi,Mumbai,1838.41,0,3,0.91,11067
Chennai,Delhi,2612.12,33,3,0.73,6685
Delhi,Pune,1575.88,12,1,0.82,8267
Pune,Delhi,2430.24,26,3,0.61,4631
Bangalore,Delhi,2664.95,28,2,1.0,11564
Pune,Bangalore,2413.8,19,3,1.17,14253
Pune,Delhi,647.66,8,2,1.23,2072
Chennai,Kolkata,1412.09,20,4,1.14,12033
Kolkata,Mumbai,1638.57,39,6,1.08,11079
Goa,Pune,1979.43,13,5,0.65,6046
Goa,Kolkata,1336.27,31,0,0.96,7161
Hyderabad,Chennai,1140.52,1,0,1.04,10520
Hyderabad,Mumbai,1924.56,35,5,1.06,8433
Mumbai,Hyderabad,635.09,1,1,0.92,4069
Bangalore,Goa,512.09,48,2,0.88,2019
Chennai,Hyderabad,691.19,4,3,1.31,5397
Kolkata,Pune,1797.62,9,3,1.15,8573
Bangalore,Hyderabad,889.86,39,1,1.3,4608
Chennai,Delhi,2305.61,0,3,1.21,18926
Delhi,Pune,2977.98,52,4,0.72,9628
Goa,Mumbai,2061.42,0,6,0.67,11589
Mumbai,Chennai,254.36,6,3,0.96,2000
Kolkata,Pune,1045.97,52,1,0.73,3573
Bangalore,Kolkata,1567.87,47,5,0.91,4921
Bangalore,Delhi,2707.82,3,2,1.15,18902
Hyderabad,Mumbai,2376.0,14,6,0.69,10246
Bangalore,Hyderabad,2810.56,17,2,1.26,18102
Goa,Bangalore,2481.48,134,6,1.02,12140
Goa,Delhi,2369.76,10,4,1.09,11939
Chennai,Delhi,1826.97,16,5,1.33,13169
Hyderabad,Pune,1500.01,55,5,0.82,5080
Kolkata,Chennai,383.95,34,4,1.38,3517
Bangalore,Goa,210.69,5,5,0.76,2000
Delhi,Hyderabad,936.65,15,2,1.22,4225
Chennai,Kolkata,1824.84,32,4,0.77,8156
Delhi,Kolkata,1482.75,40,3,0.89,4584
Delhi,Hyderabad,1261.46,52,4,0.93,5404
Bangalore,Delhi,752.47,9,2,0.77,2245
Hyderabad,Goa,491.59,10,3,0.84,2000
Chennai,Goa,905.44,5,4,1.17,7781
Goa,Delhi,534.99,18,6,0.94,5524
Bangalore,Delhi,606.35,58,5,0.83,4742
Delhi,Pune,2206.53,26,3,1.09,10861
Mumbai,Bangalore,920.65,6,3,0.98,5704
Bangalore,Hyderabad,2798.72,23,5,0.97,12153
Chennai,Delhi,671.22,3,2,0.87,5049
Hyderabad,Mumbai,2902.75,11,3,0.93,10247
Kolkata,Delhi,383.23,17,0,0.59,2000
Delhi,Kolkata,844.65,49,6,0.87,5020
Delhi,Goa,1203.86,9,1,1.01,7992
Bangalore,Chennai,1047.54,19,3,0.5,2000
Bangalore,Mumbai,1314.57,23,4,1.25,6954
Kolkata,Bangalore,2362.99,34,1,1.42,14105
Hyderabad,Chennai,531.79,24,4,1.54,2890
Delhi,Kolkata,2281.95,13,2,0.89,9493
Kolkata,Bangalore,896.66,16,0,1.14,9042
Goa,Mumbai,2402.74,16,5,0.95,13282
Goa,Mumbai,1402.17,0,2,1.01,9700
Mumbai,Kolkata,2306.55,47,6,1.02,14356
Bangalore,Kolkata,2162.23,19,3,0.65,5466
Hyderabad,Delhi,2452.85,5,3,1.09,14460
Kolkata,Pune,201.14,34,4,1.01,2000
Goa,Chennai,2960.67,57,2,1.18,14712
Chennai,Mumbai,1924.41,114,5,0.84,6939
Pune,Bangalore,2281.49,82,3,0.91,6065
Kolkata,Mumbai,2688.22,64,4,1.12,10229
Hyderabad,Delhi,2655.66,18,2,1.0,12950
Goa,Pune,487.86,3,5,1.04,5348
Kolkata,Mumbai,834.74,61,1,1.13,2668
Kolkata,Bangalore,1432.02,51,5,1.16,7770
Kolkata,Delhi,1196.2,32,0,0.85,5052
Goa,Hyderabad,2247.48,7,2,0.93,9688
Bangalore,Delhi,524.48,7,4,0.85,2000
Chennai,Pune,2606.95,6,2,0.7,10748
Hyderabad,Kolkata,1821.06,61,3,1.17,6578
Chennai,Hyderabad,1213.52,80,5,1.08,3770
Bangalore,Chennai,2195.35,35,2,1.05,10855
Chennai,Kolkata,1334.69,20,0,1.32,12741
Goa,Bangalore,2611.4,100,2,0.85,7126
Chennai,Hyderabad,954.17,13,0,0.77,5548
Hyderabad,Kolkata,2379.63,4,2,0.86,12259
Mumbai,Hyderabad,1806.46,18,1,0.82,7885
Kolkata,Mumbai,1450.69,6,6,1.02,11648
Chennai,Mumbai,1074.25,25,0,0.96,7991
Hyderabad,Bangalore,1068.06,61,6,1.2,6338
Goa,Delhi,1071.59,4,2,0.95,6193
Mumbai,Pune,1236.16,40,5,0.69,3984
Mumbai,Bangalore,1230.91,76,3,0.73,4345
Chennai,Mumbai,2901.23,46,5,1.19,14655
Pune,Bangalore,415.37,31,4,1.31,2723
Hyderabad,Pune,2487.57,72,4,1.03,9626
Bangalore,Pune,2440.0,7,6,0.84,14353
Mumbai,Chennai,531.36,40,3,1.11,2566
Bangalore,Delhi,347.42,4,2,1.26,3475
Mumbai,Delhi,702.14,34,0,1.3,5773
Kolkata,Chennai,918.8,33,6,0.74,4287
Mumbai,Goa,1172.82,13,1,1.01,7579
Mumbai,Chennai,1916.95,74,2,0.66,4569
Hyderabad,Chennai,2799.14,9,1,1.07,15526
Chennai,Pune,2841.84,44,6,0.83,12330
Kolkata,Goa,2626.23,12,4,1.12,15551
Kolkata,Hyderabad,759.52,1,1,0.96,5579
Delhi,Kolkata,2425.02,15,6,1.07,16089
Kolkata,Pune,1828.63,6,5,0.99,11474
Kolkata,Mumbai,2902.53,34,5,1.42,16676
Chennai,Bangalore,2211.22,31,6,0.98,11905
Pune,Mumbai,1731.73,51,6,1.28,12258
Bangalore,Mumbai,2442.35,33,3,0.87,7488
Chennai,Mumbai,1678.64,14,5,0.95,8188
Delhi,Goa,2455.63,0,6,1.07,22056
Chennai,Hyderabad,1759.91,65,4,0.81,3468
Bangalore,Pune,2552.41,47,3,0.86,8342
Hyderabad,Chennai,1066.91,32,0,0.76,3628
Hyderabad,Bangalore,2747.74,18,1,0.85,12501
Goa,Delhi,1057.26,0,1,1.04,8968
Bangalore,Mumbai,831.34,19,2,0.89,3052
Mumbai,Hyderabad,324.3,30,5,1.11,3018
Pune,Delhi,1659.34,14,1,0.89,7491
Delhi,Mumbai,1272.25,37,1,1.08,8390
Bangalore,Kolkata,1275.2,128,6,1.07,8178
Mumbai,Pune,698.41,10,3,0.79,3555
Bangalore,Delhi,2895.97,13,2,0.95,11752
Mumbai,Delhi,204.52,76,5,0.86,2000
Hyderabad,Goa,1068.29,44,4,1.14,4536
Bangalore,Mumbai,1450.43,1,0,1.11,11807
Pune,Mumbai,2925.83,34,1,1.23,17068
Pune,Bangalore,1922.96,1,2,1.06,10747
Chennai,Hyderabad,408.43,97,1,1.14,3151
Delhi,Goa,346.26,30,1,0.93,2000
Bangalore,Pune,2667.74,18,4,0.79,12967
Hyderabad,Bangalore,2676.94,3,3,1.01,16756
Mumbai,Kolkata,2335.37,16,5,1.0,11929
Mumbai,Pune,705.91,12,3,0.84,3580
Bangalore,Mumbai,2737.08,20,3,1.21,17752
Chennai,Bangalore,1220.38,66,2,0.74,2569
Hyderabad,Chennai,2822.86,15,0,0.89,16663
Hyderabad,Pune,1875.14,26,5,0.63,4485
Delhi,Pune,1035.94,13,1,1.01,4596
Chennai,Pune,1465.19,24,5,1.12,7303
Goa,Bangalore,2355.01,13,3,1.55,15987
Goa,Chennai,1833.96,68,2,0.9,4647
Mumbai,Chennai,529.31,15,2,1.06,2608
Pune,Kolkata,2243.15,26,2,1.05,9259
Hyderabad,Kolkata,1995.26,11,1,1.27,12309
Goa,Kolkata,1477.83,11,1,0.83,7067
Pune,Kolkata,1199.91,56,4,1.33,7687
Goa,Chennai,2549.93,35,5,0.82,10169
Bangalore,Hyderabad,1239.59,37,0,0.71,5791
Hyderabad,Mumbai,2604.99,29,1,1.27,15126
Bangalore,Chennai,689.39,6,6,1.1,5216
Bangalore,Hyderabad,2487.64,38,2,0.94,8537
Bangalore,Kolkata,1258.49,11,5,1.33,10186
Pune,Bangalore,1852.31,19,0,0.96,12419
Hyderabad,Bangalore,1235.17,49,4,1.03,8614
Hyderabad,Delhi,2713.19,137,1,0.8,10043
Kolkata,Hyderabad,1905.49,54,5,0.75,5333
Goa,Kolkata,1172.85,86,6,0.83,3584
Hyderabad,Delhi,573.72,37,5,0.97,2137
Mumbai,Hyderabad,2140.41,2,0,0.83,15008
Pune,Delhi,2345.21,3,2,1.16,15877
Chennai,Kolkata,2581.71,24,4,0.91,8317
Mumbai,Chennai,2074.46,9,6,0.85,13403
Delhi,Hyderabad,2032.34,69,2,1.36,10246
Hyderabad,Kolkata,1574.11,44,1,0.98,8432
Kolkata,Bangalore,1881.21,9,0,1.17,14944
Mumbai,Goa,1624.99,10,0,1.09,11505
Goa,Bangalore,960.01,1,3,0.88,4952
Hyderabad,Mumbai,2177.06,11,2,1.1,11615
Mumbai,Hyderabad,774.17,13,3,1.03,2000
Pune,Goa,2395.18,160,5,1.48,11868
Goa,Mumbai,2742.93,16,2,1.26,17896
Delhi,Bangalore,2488.01,9,6,0.82,13431
Hyderabad,Pune,2397.52,26,2,0.89,8502
Pune,Hyderabad,372.45,15,4,1.24,2000
Goa,Kolkata,2548.65,3,2,0.77,12884
Kolkata,Hyderabad,280.15,65,6,0.88,2000
Goa,Mumbai,254.42,5,1,0.95,2000
Bangalore,Mumbai,2784.1,43,2,0.82,10240
Goa,Kolkata,507.1,90,3,1.04,2563
Kolkata,Delhi,1774.91,78,5,0.88,6289
Hyderabad,Kolkata,2626.44,35,2,0.93,9662
Pune,Hyderabad,1680.48,61,0,0.92,7231
Delhi,Mumbai,2218.4,7,3,0.68,6024
Bangalore,Delhi,765.7,9,1,0.96,5361
Pune,Mumbai,2073.66,63,6,1.19,12470
Pune,Goa,1884.74,8,5,0.66,6612
Mumbai,Pune,1635.48,2,5,1.12,12165
Mumbai,Pune,1620.97,4,0,0.92,13721
Chennai,Pune,1090.56,27,4,1.06,3490
Delhi,Kolkata,2665.98,26,3,1.26,14691
Kolkata,Delhi,2072.12,12,4,0.97,10760
Bangalore,Hyderabad,1025.04,4,6,1.05,9253
Delhi,Hyderabad,2442.01,31,1,1.21,11890
Chennai,Kolkata,1578.14,9,2,1.58,12759
Mumbai,Pune,1155.9,33,4,1.15,7358
Delhi,Kolkata,825.05,8,2,0.86,3355
Bangalore,Pune,654.31,2,2,1.17,3571
Pune,Kolkata,1371.68,13,2,0.93,6433
Goa,Chennai,224.34,1,1,1.1,2000
Delhi,Pune,571.61,0,6,1.03,4006
Kolkata,Goa,1982.81,12,6,1.03,14345
Bangalore,Mumbai,2317.8,8,5,0.86,11993
Delhi,Mumbai,871.5,8,4,0.68,4766
Hyderabad,Mumbai,1851.72,51,0,1.13,10745
Kolkata,Bangalore,960.41,72,4,0.95,4811
Bangalore,Chennai,1025.28,55,5,1.05,4645
Pune,Bangalore,2403.27,10,1,0.91,10827
Hyderabad,Chennai,846.61,8,0,1.34,6997
Hyderabad,Mumbai,2644.39,10,2,0.68,9598
Pune,Bangalore,1647.07,48,5,0.93,7687
Goa,Bangalore,1260.94,59,4,0.67,2444
Kolkata,Delhi,2947.36,19,4,0.98,15981
Delhi,Bangalore,2375.21,36,4,1.17,12215
Chennai,Hyderabad,801.04,19,1,0.99,2000
Delhi,Chennai,903.81,4,2,1.49,10366
Mumbai,Goa,769.97,22,1,0.99,3879
Kolkata,Chennai,584.84,7,6,1.27,3268
Mumbai,Kolkata,1033.06,2,3,0.79,6494
Mumbai,Goa,345.48,16,1,1.04,4161
Pune,Chennai,787.26,93,1,1.01,3062
Hyderabad,Kolkata,729.73,30,2,0.72,3932
Bangalore,Kolkata,2843.72,5,0,0.84,20015
Hyderabad,Mumbai,2236.33,24,2,1.02,7956
Delhi,Hyderabad,542.91,3,4,0.91,2901
Delhi,Kolkata,2490.13,37,1,0.92,12007
Mumbai,Kolkata,914.58,6,4,0.99,3998
Hyderabad,Bangalore,726.61,11,1,0.94,5158
Delhi,Pune,1868.21,4,0,0.95,16838
Chennai,Delhi,1014.91,9,1,1.25,4501
Mumbai,Pune,268.37,31,5,0.98,2000
Chennai,Mumbai,1253.3,7,2,0.99,5960
Pune,Goa,2890.03,10,3,0.62,8675
Mumbai,Kolkata,532.73,4,1,0.82,3987
Goa,Kolkata,2957.07,1,2,1.15,19616
Bangalore,Kolkata,2342.66,168,2,0.89,6408
Mumbai,Kolkata,1274.92,26,6,1.1,8148
Chennai,Mumbai,452.07,44,3,0.74,2000
Delhi,Kolkata,1335.93,57,0,1.37,9434
Mumbai,Delhi,1242.82,10,0,1.0,7268
Goa,Mumbai,527.98,60,1,1.09,2902
Pune,Bangalore,457.9,122,0,1.09,4324
Hyderabad,Chennai,2610.64,8,6,1.21,20847
Chennai,Hyderabad,956.37,47,5,1.04,4077
Kolkata,Pune,2747.38,20,6,0.7,14263
Bangalore,Mumbai,687.3,49,4,1.11,4293
Pune,Delhi,1124.57,3,1,0.8,5386
Mumbai,Goa,2637.38,93,5,1.1,11396
Bangalore,Delhi,1433.85,13,3,1.06,5921
Bangalore,Goa,1181.21,59,1,0.84,4058
Goa,Bangalore,2870.42,42,5,0.97,13485
Delhi,Kolkata,1885.35,10,2,1.4,11371
Mumbai,Bangalore,1277.66,7,5,1.37,8504
Bangalore,Pune,2807.65,17,2,0.8,11339
Goa,Hyderabad,2566.04,5,5,0.92,15980
Kolkata,Goa,1432.6,0,6,0.79,10864
Bangalore,Pune,599.89,38,1,0.93,2000
Goa,Bangalore,2916.25,4,2,0.8,13422
Goa,Bangalore,842.35,2,6,1.27,8512
Goa,Mumbai,2144.89,6,6,1.0,16900
Pune,Delhi,393.47,16,0,0.78,3650
Chennai,Hyderabad,1888.35,6,0,1.27,21168
Hyderabad,Bangalore,2472.97,8,0,0.83,15085
Kolkata,Delhi,2553.73,18,6,1.23,21657
Mumbai,Hyderabad,2452.87,8,4,0.96,11775
Hyderabad,Kolkata,2005.7,89,3,0.99,7615
Pune,Bangalore,2343.48,17,4,1.04,11600
Kolkata,Delhi,1178.44,10,1,0.8,4025
Mumbai,Goa,2352.24,10,3,0.65,7094
Hyderabad,Chennai,1642.37,26,3,1.19,7112
Mumbai,Pune,2139.79,76,4,1.26,8760
Pune,Delhi,2336.29,7,6,0.82,12866
Mumbai,Hyderabad,2603.89,99,4,0.79,5844
Kolkata,Bangalore,503.26,56,4,1.25,2000
Bangalore,Pune,993.53,19,5,0.94,3790
Bangalore,Kolkata,1141.37,7,0,1.03,7952
Bangalore,Goa,2431.03,97,2,1.19,8907
Chennai,Bangalore,406.47,43,6,0.78,2000
Hyderabad,Delhi,2481.02,1,5,1.0,17145
Mumbai,Delhi,1007.83,49,2,1.02,3700
Pune,Delhi,2188.12,53,5,0.93,10578
Chennai,Kolkata,1580.59,22,0,0.73,7621
Chennai,Delhi,2185.65,44,5,0.74,7075
Mumbai,Delhi,2888.79,18,6,1.02,20133
Chennai,Goa,1556.71,28,0,0.8,6818
Pune,Kolkata,359.81,18,6,0.93,2000
Delhi,Kolkata,2445.49,47,3,0.93,9715
Kolkata,Chennai,2794.13,2,0,1.28,29905
Pune,Chennai,1017.76,0,5,0.93,6474
Chennai,Delhi,1237.1,33,6,0.74,6134
Delhi,Hyderabad,224.32,2,4,1.3,2000
Pune,Mumbai,218.12,1,0,1.36,3824
Bangalore,Delhi,2229.72,5,3,0.87,11528
Mumbai,Chennai,468.24,41,0,1.33,2621
Delhi,Goa,1260.65,6,2,0.99,7100
Goa,Chennai,1421.84,21,3,1.03,5694
Delhi,Chennai,1918.85,2,6,1.11,16335
Goa,Delhi,2540.65,24,5,1.06,12517
Goa,Bangalore,2364.43,72,4,1.22,10574
Goa,Mumbai,1411.38,4,0,1.18,13365
Bangalore,Pune,1114.93,57,6,1.08,5859
Hyderabad,Mumbai,2921.77,36,5,1.18,16836
Bangalore,Chennai,2534.73,9,4,1.29,18137
Hyderabad,Kolkata,2543.95,11,1,0.86,14341
Bangalore,Kolkata,802.75,100,1,1.04,4646
Hyderabad,Bangalore,1608.92,20,0,1.28,11778
Bangalore,Mumbai,632.8,15,5,1.1,5491
Bangalore,Mumbai,858.3,45,3,0.64,2812
Pune,Bangalore,1060.22,64,1,0.77,3048
Mumbai,Kolkata,2753.65,28,0,1.38,20359
Goa,Delhi,287.61,25,3,0.65,2000
Goa,Delhi,1789.44,0,1,1.3,15192
Goa,Hyderabad,1073.28,28,0,1.24,6700
Kolkata,Pune,2201.36,3,3,0.79,13893
Hyderabad,Pune,919.69,53,2,0.75,2000
Kolkata,Chennai,1163.68,18,0,1.01,9770
Pune,Mumbai,1164.8,8,3,0.74,4173
Bangalore,Hyderabad,2744.98,18,1,1.21,19324
Bangalore,Pune,1511.63,14,2,0.99,8898
Kolkata,Delhi,1598.93,10,4,1.02,7987
Goa,Hyderabad,1054.99,29,5,1.39,7359
Mumbai,Goa,278.16,30,6,0.94,2408
Hyderabad,Pune,2583.22,100,2,0.72,8123
Bangalore,Delhi,582.06,8,6,1.31,4713
Chennai,Bangalore,1285.27,21,1,1.34,7597
Goa,Pune,1221.56,19,2,0.86,7140
Bangalore,Goa,214.83,46,1,1.15,2000
Mumbai,Delhi,765.14,49,3,0.95,2645
Delhi,Chennai,2081.57,19,0,1.14,16522
Delhi,Mumbai,2791.01,13,6,0.72,13312
Bangalore,Delhi,393.57,8,2,1.04,2319
Hyderabad,Kolkata,1495.41,38,3,0.86,6325
Delhi,Kolkata,765.58,27,5,0.87,3720
Pune,Goa,2278.6,41,6,1.26,17687
Hyderabad,Mumbai,307.72,83,4,1.03,2000
Kolkata,Bangalore,818.69,1,3,0.89,4467
Mumbai,Goa,1250.2,15,2,1.17,8249
Chennai,Hyderabad,223.86,30,1,0.9,2000
Bangalore,Pune,1302.01,17,5,1.04,8728
Delhi,Chennai,890.16,41,3,0.79,4523
Pune,Mumbai,973.7,9,1,0.61,4089
Bangalore,Hyderabad,818.08,47,5,1.15,4209
Goa,Mumbai,987.61,6,5,1.13,9605
Delhi,Kolkata,1592.22,36,1,0.88,4807
Hyderabad,Bangalore,2641.8,13,2,0.91,11038
Kolkata,Chennai,2655.94,4,4,1.22,21507
Bangalore,Goa,1054.52,50,3,1.22,4545
Bangalore,Delhi,2792.15,10,2,0.98,13082
Kolkata,Delhi,541.93,0,2,0.82,2000
Delhi,Mumbai,2330.99,54,3,0.65,5836
Hyderabad,Delhi,1784.44,54,0,0.96,8576
Goa,Chennai,2813.83,112,3,0.68,5497
Chennai,Delhi,1786.25,48,5,1.03,8058
Bangalore,Goa,1169.95,12,1,0.67,3119
Bangalore,Pune,1990.88,15,1,0.64,7405
Chennai,Mumbai,691.99,13,2,0.79,3871
Pune,Goa,289.46,7,0,0.99,2000
Pune,Bangalore,541.38,8,1,0.91,3156
Bangalore,Chennai,2530.46,29,0,0.91,13732
Kolkata,Bangalore,816.78,20,4,0.78,3609
Delhi,Bangalore,1106.24,34,4,1.09,7505
